speed,elapsedTime,elapsedDistance,lateralAcceleration,longitudinalAcceleration,gear,gearRatio,engineSpeed,torque,power,downForce,dragForce,tractionControl,throttlePosition,brakePosition,cornerRadius,sectorIndex,maximumCornerSpeed,loadSensitiveLatGrip,loadSensitiveLongGrip,yawangle,yawvelocity,yawacceleration,xposition,yposition,trackelevation,fz,
Speed (linear),Time,Length,Acceleration (linear),Acceleration (linear),Unitless,Unitless,Speed (angular),Torque,Power,Force,Force,Ratio,Ratio,Ratio,Length,Unitless,Speed (linear),Unitless,Unitless,Angle,Speed (angular),Acceleration (angular),Length,Length,Length,Force,
km/h,s,m,G,G,-,-,rpm,N.m,hp,N,N,%,%,%,m,-,km/h,-,-,deg,rpm,deg/s^2,m,m,m,N,
80.6612460455246,0.0943500518078012,2.1,0.823392695572697,1.19974816263366,1,11.65,12279.0196782207,62.4188166955324,107.63258663816,1079.35415621488,357.23305406639,0,90.0274501073239,0,62.1511021268601,1,131.380595779309,1.75,1.75,2.02522460431691,3.91349983852243,0.550343162381986,2.30207788269105,0.00509328019093708,0,3728.05415621488,
80.8498278931222,0.0988131616362412,2.2,0.830598604344168,1.19643966920811,1,11.65,12307.7273951372,62.2972873605859,107.674175680486,1084.40700505438,358.905391743767,0,89.9612194897436,79.7921765850238,61.9003341679494,1,131.380595779309,1.75,1.75,2.13033583149925,3.93714698005655,0.554842467678728,2.41101739491301,0.00739873721988989,0,3733.10700505438,
81.0374520196996,0.10326586128176,2.3,0.837852405679816,1.19314650759328,1,11.65,12336.2893186792,62.1763752175915,107.71458107978,1089.4459025571,360.573111957434,0,89.8949596759727,79.7134168999804,61.6495662090388,1,131.380595779309,1.75,1.75,2.2358354432899,3.96093280302563,0.559401207118996,2.51990292870189,0.00990290390351822,0,3738.1459025571,
81.22412747264,0.107708251695424,2.4,0.845154736558694,1.18986854092805,1,11.65,12364.7068261251,62.0560744360705,107.753819567821,1094.47091368468,362.236236207696,0,89.828670912994,79.6339446231185,61.3987982501281,1,131.380595779309,1.75,1.75,2.34172660852015,3.98485950623293,0.564020328556178,2.6287341014638,0.0126063276263757,0,3743.17091368468,
81.409863161281,0.112140432270355,2.5,0.852506243954692,1.18660563439875,1,11.65,12392.9812737388,61.9363792745058,107.791907587423,1099.48210281301,363.894785800998,0,89.7623534466318,79.5537476879182,61.1480302912174,1,131.380595779309,1.75,1.75,2.44801253487284,4.0089293160513,0.568700789000419,2.73751052693093,0.0155095600054968,0,3748.18210281302,
81.5946678598531,0.116562500875075,2.6,0.859907585049242,1.18335765519571,1,11.65,12421.1139972169,61.8172840784486,107.828861298881,1104.47953374116,365.548781852865,0,89.6960075215687,79.472813744078,60.8972623323067,1,131.380595779309,1.75,1.75,2.55469646955765,4.03314448866334,0.573443601351397,2.84623181510973,0.018613156938042,0,3753.17953374116,
81.7785502103383,0.12097455388592,2.7,0.867359427449157,1.18012447247112,1,11.65,12449.1063121237,61.6987832786763,107.864696586246,1109.4632697,367.19824529078,0,89.6296333813606,79.3911301491755,60.6464943733961,1,131.380595779309,1.75,1.75,2.66178169991778,4.05750730967469,0.578249772625342,2.95489757222809,0.0219176786496528,0,3758.1632697,
81.9615187252504,0.125376686218592,2.8,0.874862449409737,1.17690595729797,1,11.65,12476.9595143149,61.5808713894002,107.899429063411,1114.43337336079,368.843196857,0,89.5632312684533,79.3086839600339,60.3957264144854,1,131.380595779309,1.75,1.75,2.76927155412846,4.08202009562778,0.583120349031002,3.06350740068166,0.0254236897435319,0,3763.13337336079,
82.1435817903421,0.129768991358847,2.9,0.882417340063329,1.17370198263012,1,11.65,12504.6748803493,61.4635430065215,107.933074080045,1119.38990684347,370.483657111313,0,89.4968014241966,79.2254619237798,60.1449584555747,1,131.380595779309,1.75,1.75,2.87716940185982,4.09387919777716,0.282740436596909,3.17206089897913,0.0291317592502599,0,3768.08990684347,
82.3247476672376,0.134151561392363,3,0.890024799653479,1.17051242326339,1,11.65,12532.2536678895,61.3467928059344,107.965646727353,1124.33293172478,372.119646433732,0,89.4303440888603,79.1414504685813,59.8941904966641,1,131.380595779309,1.75,1.75,2.98547865496506,4.12960459959846,0.853644163508532,3.28055766168654,0.0330424606783647,0,3773.03293172478,
82.5050244959974,0.138524487033813,3.1,0.897685539774859,1.16733715579775,1,11.65,12559.6971160929,61.2306155418735,107.997161843684,1129.2625090463,373.751185027143,0,89.3638595016479,78.6874604896541,59.6434225377534,1,131.380595779309,1.75,1.75,3.09319477410381,4.15107276313336,0.514104517793157,3.38899727937061,0.0371563720656552,0,3777.9625090463,
82.6844202976132,0.142887857655168,3.2,0.912394134833327,1.16417605860049,1,11.65,12587.0064459907,61.1150060453059,108.027634019987,1134.17869932222,375.378292919884,0,89.2973479007117,78.3822819425731,58.9373870869974,1,131.380595779309,1.75,1.75,3.20252325200198,4.19604823340746,1.0793995381562,3.49729469822662,0.0414687958675376,0,3782.87869932222,
82.8629429764389,0.147241761313248,3.3,0.924315766564795,1.16102901177033,1,11.65,12614.1828608588,60.9999592223643,108.057077605117,1139.08156254702,377.000989968282,0,89.2308095231663,78.068386684596,58.4287153076064,1,131.380595779309,1.75,1.75,3.31271696454643,4.23963369200772,1.04831409002994,3.60548612939443,0.0459837871347901,0,3787.78156254702,
83.0406003225572,0.151586284776557,3.4,0.936435936614971,1.15789589710247,1,11.65,12641.2275465774,60.8854700528225,108.085506711005,1143.97115820295,378.619295859132,0,89.1642446051025,77.7453966829044,57.9200435282154,1,131.380595779309,1.75,1.75,3.423791062405,4.28322173041156,1.05063967230111,3.71357110987919,0.0507025887346077,0,3792.67115820295,
83.2174000140847,0.155921513551417,3.5,0.948759970910892,1.15477659805461,1,11.65,12668.1416719821,60.7715335886092,108.112935217682,1148.84754526735,380.233230112127,0,89.097653381601,77.4129115508688,57.4113717488244,1,131.380595779309,1.75,1.75,3.53576109708386,4.32728932507662,1.06447616993094,3.82154916710598,0.0556264664564632,0,3797.54754526735,
83.3933496194177,0.160247531907423,3.6,0.961293385405696,1.15167099971377,1,11.65,12694.926389206,60.6581449523612,108.139376778176,1153.71078221989,381.842812082234,0,89.0310360867455,77.0705068335131,56.9026999694334,1,131.380595779309,1.75,1.75,3.64864303523293,4.37200870264082,1.08252020270007,3.92941981862627,0.0607567096152056,0,3802.41078221989,
83.5684565994207,0.164564422902244,3.7,0.974041894654679,1.14857898876399,1,11.65,12721.5828340127,60.545299336013,108.164844823278,1158.56092704957,383.448060962034,0,88.9643929536353,76.7177321276837,56.3940281900424,1,131.380595779309,1.75,1.75,3.76245327351034,4.41745098080754,1.10234524045365,4.03718257181285,0.0660946316753328,0,3807.26092704957,
