[Result Details],,,,,,,,,,,,,,,,,,,,,,,,,,
Result Name,[68.63] AR26, FSAE Endurance Germany 2012,,,,,,,,,,,,,,,,,,,,,,,,
Date Created,1/20/2026 7:52:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,
Track,FSAE Endurance Germany 2012,,,,,,,,,,,,,,,,,,,,,,,,,
Track Configuration,Closed Circuit,,,,,,,,,,,,,,,,,,,,,,,,,
Vehicle,AR26,,,,,,,,,,,,,,,,,,,,,,,,,
56.38331158,0.157692987,2.75,-13.02294509,-16.26237438,1,11.65,8583.202298,89.93041806,108.3978109,527.3941092,174.5512418,100,0,75.52949783,-18.83592484,1,75.38125047,1.75,1.75,-5.19152922,-7.593663944,-1.035271171,1.948173408,2.047207643,0,3176.094109
55.43278945,0.174206413,3,-13.4167231,-15.67213407,1,11.65,8438.504807,91.31227909,108.2079665,509.7621451,168.7156036,0,0,73.14612932,-17.67184967,1,72.22482564,1.75,1.75,-5.948445058,-7.94434935,-2.223868614,2.137197295,2.222786472,0,3158.462145
54.5011072,0.190999783,3.25,-13.88408042,-15.02788293,1,11.65,8296.6753,92.66675088,107.9673844,492.7705731,163.0919155,0,0,70.44993248,-16.50777451,1,69.06626923,1.75,1.75,-6.758532122,-8.253253795,-1.926260093,2.328556668,2.395882347,0,3141.470573
53.59257954,0.208083199,3.5,-14.37562673,-14.79517441,1,11.65,8158.370606,93.98756071,107.6808212,476.4786408,157.6997866,0,0,69.76066064,-15.41620701,1,66.09405542,1.75,1.75,-7.640034924,-8.58032825,-2.004936063,2.522377436,2.566284679,0,3125.178641
52.68267191,0.225467036,3.75,-14.43838922,-14.548066,1,11.65,8019.855839,95.31037674,107.3423994,460.4364543,152.3903158,0,0,68.98479357,-14.83241401,1,64.49725573,1.75,1.75,-8.555362926,-8.898131515,-1.914438039,2.71882911,2.73371252,0,3109.136454
51.77222753,0.243155545,4,-14.51496073,-14.00368317,1,11.65,7881.259362,97.12162901,107.4919964,444.6597476,147.1687108,0,0,66.69407408,-14.24862102,1,62.89357108,1.75,1.75,-9.498628649,-9.116446669,-1.292472452,2.917962551,2.898007292,0,3093.359748
50.88049218,0.261158479,4.25,-14.86579929,-13.71138681,1,11.65,7745.510952,98.97553148,107.6570476,429.4738468,142.1426443,0,0,65.64163722,-13.43721732,1,60.65021094,1.75,1.75,-10.50734085,-9.421707977,-1.775648801,3.119806519,3.059027789,0,3078.173847
49.99184945,0.279485252,4.5,-14.97839363,-13.38913228,1,11.65,7610.233331,100.8230044,107.7512106,414.6030785,137.2208771,0,0,64.41769985,-12.87443463,1,59.0821712,1.75,1.75,-11.55894535,-9.726077497,-1.739177012,3.324485928,3.216494636,0,3063.303079
49.10848296,0.298144545,4.75,-15.11442763,-13.02812539,1,11.65,7475.758907,102.6595082,107.7752446,400.0802854,132.4142789,0,0,62.97435008,-12.31165195,1,57.50228215,1.75,1.75,-12.65726178,-9.895902396,-0.953091944,3.53205228,3.370201775,0,3048.780285
48.23333876,0.317155931,5,-15.2789524,-13.05193167,1,11.65,7342.53616,104.4789179,107.7306576,385.947974,127.7369181,0,0,63.48394348,-11.74886926,1,55.90864494,1.75,1.75,-13.81996712,-10.18534166,-1.59430819,3.742557361,3.519923791,0,3034.647974
47.34005164,0.336528006,5.25,-15.12622024,-12.63882988,1,11.65,7206.551524,106.3360465,107.6149371,371.7847481,123.0493256,0,0,61.7439718,-11.43199521,1,55.00452068,1.75,1.75,-14.99988431,-10.32364969,-0.747652627,3.956085805,3.665362965,0,3020.484748
46.45862634,0.356267022,5.5,-15.32986584,-12.1536979,1,11.65,7072.372607,108.1685145,107.4312304,358.0690996,118.5098675,0,0,59.60278597,-10.86399041,1,53.36999244,1.75,1.75,-16.23954122,-10.8058971,-2.558427036,4.172591349,3.806392236,0,3006.7691
45.59497902,0.376345271,5.75,-15.5797725,-10.65765292,1,11.65,6940.900024,110.2228694,107.4365497,344.8801155,114.1447191,0,0,52.17003297,-10.29598562,1,51.71546064,1.75,1.75,-17.52064391,-11.22133004,-2.166724578,4.392122982,3.942720476,0,2993.580116
44.82462579,0.396740632,6,-16.48922047,-9.492154098,1,11.65,6823.629551,112.3380436,107.6482189,333.3246717,110.3202223,0,0,46.36800918,-9.402172584,1,49.06429366,1.75,1.75,-18.94346271,-11.97031477,-3.845653703,4.614672148,4.074120866,0,2982.024672
44.12768049,0.417403237,6.25,-17.06554404,-7.67262816,1,11.65,6717.53393,114.2516601,107.7796922,323.0400099,106.9163153,0,0,37.08028201,-8.804345169,1,47.25286111,1.75,1.75,-20.45892133,-13.02876546,-5.364313979,4.840436427,4.199966492,0,2971.74001
43.55694917,0.438085274,6.5,-17.83819846,-0.54968741,1,11.65,6630.651796,115.8187285,107.8448884,314.7378843,104.1685669,0,0,0,-8.206517753,1,45.40532154,1.75,1.75,-22.07989265,-13.31252802,-1.436780379,5.069466964,4.319806298,0,2963.437884
43.51602201,0.458767312,6.75,-19.20363596,0,1,11.65,6624.421476,115.931103,107.8480942,314.1466916,103.9729003,0,2.230743822,0,-7.608690338,1,43.51602201,1.75,1.75,-23.92789122,-14.05542988,-3.761549192,5.301807689,4.433125233,0,2962.846692
43.26093448,0.479790033,7,-18.39157775,-5.947427202,1,11.65,6585.589633,116.6315019,107.863643,310.4744795,102.7575109,100,0,28.27166145,-7.851774237,1,44.28967661,1.75,1.75,-25.67439812,-13.99441909,0.303910951,5.537684408,4.53889382,0,2959.174479
42.8108225,0.501036862,7.25,-18.35740639,-5.903617376,1,11.65,6517.06932,117.8673833,107.8724477,304.0473751,100.6303369,80.28995145,0,28.14628383,-7.703548473,1,43.81884889,1.75,1.75,-27.45423942,-14.05425821,-0.294930495,5.776671039,4.637422639,0,2952.747375
42.35926317,0.522513161,7.5,-18.32478018,-5.854022852,1,11.65,6448.328678,119.1072387,107.8573816,297.6671498,98.51867841,0,0,27.98914135,-7.55532271,1,43.34511648,1.75,1.75,-29.26876887,-14.15780779,-0.504914117,6.018590422,4.728476635,0,2946.36715
41.90666128,0.544224173,7.75,-18.29418612,-5.796382438,1,11.65,6379.429327,120.3499567,107.8182602,291.3400823,96.42461352,0,0,27.78800386,-7.407096946,1,42.86836765,1.75,1.75,-31.11942407,-14.27979791,-0.588400783,6.263250759,4.811817669,0,2940.040082
41.4536181,0.566174843,8,-18.26630871,-5.727395342,1,11.65,6310.462798,121.5938863,107.7550173,285.074912,94.35103472,0,0,27.52500694,-7.258871183,1,42.38848515,1.75,1.75,-33.00773344,-14.41240303,-0.632617336,6.510444652,4.887204836,0,2933.774912
41.0010255,0.588369547,8.25,-18.24212445,-5.642116795,1,11.65,6241.56486,122.8365788,107.6677781,278.8839707,92.30202341,0,0,27.17337894,-7.110645419,1,41.90534583,1.75,1.75,-34.93532397,-14.55385498,-0.667403106,6.759948065,4.954394853,0,2927.583971
40.5502151,0.610811643,8.5,-18.22305251,-5.532882134,1,11.65,6172.938228,124.0743779,107.5569772,272.7849711,90.28344197,0,0,26.69162069,-6.962419656,1,41.41882017,1.75,1.75,-36.90392971,-14.70480929,-0.704386006,7.011519223,5.013142505,0,2921.484971
40.10320499,0.633502741,8.75,-18.2112047,-5.3872385,1,11.65,6104.89011,125.3017424,107.4235529,266.8039649,88.30391275,0,0,26.01233317,-6.814193892,1,40.92877183,1.75,1.75,-38.91540129,-14.86746877,-0.750675935,7.264897432,5.063201178,0,2915.503965
39.66313252,0.656441395,9,-18.20982565,-5.183514573,1,11.65,6037.898106,126.4,107.1759655,260.9805469,86.37654034,0,0,25.01832845,-6.665968129,1,40.4350571,1.75,1.75,-40.97171644,-15.04615354,-0.815733317,7.519801816,5.104323477,0,2909.680547
39.23508226,0.679620605,9.25,-18.22413584,-4.879653042,1,11.65,5972.736236,126.4,106.0193069,255.3778638,84.52222442,0,0,23.48253134,-6.517742365,1,39.93752432,1.75,1.75,-43.07499172,-15.28394576,-1.074305143,7.775929972,5.13626195,0,2904.077864
38.82789886,0.703022004,9.5,-18.26317598,-4.376046604,1,11.65,5910.750919,126.4,104.9190339,250.1047237,82.7769771,0,0,20.86840573,-6.369516602,1,39.43601324,1.75,1.75,-45.22749564,-15.89313092,-2.72606434,8.032956537,5.158769926,0,2898.804724
38.45923865,0.726447079,9.75,-18.34492155,-0.460934085,1,11.65,5854.629966,126.4,103.9228566,245.3779196,81.21255021,0,0,0,-6.221290838,1,38.93035433,1.75,1.75,-47.43166329,-15.66300657,1.028750833,8.290531645,5.171602493,0,2894.07792
38.42036795,0.749872154,10,-18.75469921,0,1,11.65,5848.7127,126.4,103.8178219,244.882164,81.04847036,0,1.715637881,0,-6.073065075,1,38.42036795,1.75,1.75,-49.83017629,-15.52389081,0.62190489,8.548279297,5.174517623,0,2893.582164
38.38149726,0.773297229,10.25,-16.89351348,-0.460934085,1,11.65,5842.795434,126.4,103.7127872,244.3869098,80.88455643,100,98.88496462,0,-6.728509047,1,40.64382689,1.75,1.75,-51.9965498,-14.41180612,4.971477633,8.805766513,5.166648318,0,2893.08691
39.02961816,0.796746028,10.5,-15.76225708,7.677731637,1,11.65,5941.458543,126.4,105.4641109,252.7101699,83.63929972,69.70952045,98.84698906,0,-7.457018094,1,43.02927652,1.75,1.75,-53.9442342,-13.64187073,3.438446753,9.062617999,5.149061835,0,2901.41017
39.84195297,0.819805438,10.75,-14.96337578,9.78553017,1,11.65,6065.119851,126.0190673,107.3347129,263.339103,87.15714994,61.82440916,98.79486175,0,-8.18552714,1,45.33972879,1.75,1.75,-55.64574666,-12.86141979,3.544263619,9.318574868,5.122771166,0,2912.039103
40.73805083,0.842394693,11,-15.60905788,11.01922492,1,11.65,6201.532363,123.5586336,107.6060432,275.3180002,91.12179676,57.05236206,98.71495218,0,-8.203870551,1,45.39705224,1.75,1.75,-57.36301964,-12.70908238,0.706209071,9.57350425,5.088909855,0,2924.018
41.55316062,0.86448706,11.25,-15.84615114,10.24876043,1,11.65,6325.616103,121.3205705,107.7709785,286.4456558,94.80470879,59.07238103,98.63834973,0,-8.407741101,1,46.03154797,1.75,1.75,-59.03908208,-12.63088411,0.370666668,9.827162428,5.04744734,0,2935.145656
42.33387539,0.886146063,11.5,-16.05782113,10.01270567,1,11.65,6444.463909,119.1769464,107.8558238,297.3104465,98.40062058,59.177477,98.56128194,0,-8.611611652,1,46.6614298,1.75,1.75,-60.67592408,-12.56781242,0.304947167,10.07935531,4.998611304,0,2946.010446
43.08419767,0.907405633,11.75,-16.24744012,9.803719093,1,11.65,6558.68508,117.1167716,107.8699362,307.9428568,101.9196216,59.21325907,98.48361729,0,-8.815482202,1,47.28692059,1.75,1.75,-62.27539401,-12.50576913,0.305610988,10.32990469,4.942623996,0,2956.642857
43.80762458,0.928294962,12,-16.41795402,9.619835814,1,11.65,6668.811984,115.130444,107.8209623,318.3710166,105.371022,59.1797405,98.40521873,0,-9.019352753,1,47.90823081,1.75,1.75,-63.83921165,-12.44097853,0.324800054,10.57864703,4.879702177,0,2967.071017
44.50721168,0.948839331,12.25,-16.57192844,9.459027516,1,11.65,6775.309766,113.2095738,107.7151678,328.6206794,108.7633454,59.07800213,98.3259458,0,-9.223223303,1,48.52555952,1.75,1.75,-65.36897988,-12.37294348,0.346791579,10.82543223,4.8100571,0,2977.320679
45.18562831,0.969060773,12.5,-16.71159179,9.319269301,1,11.65,6878.584778,111.3468318,107.5577007,338.7152622,112.1043421,58.90988481,98.2456563,0,-9.427093854,1,49.13909528,1.75,1.75,-66.86619501,-12.30212483,0.366744931,11.07012263,4.733894521,0,2987.415262
45.84520603,0.988978611,12.75,-16.83887521,9.198590612,1,11.65,6978.991952,109.5358162,107.3528051,348.6759336,115.4010182,58.67772892,98.16420744,0,-9.630964404,1,49.74901695,1.75,1.75,-68.33225602,-12.2980832,0.021249238,11.31259203,4.651414746,0,2997.375934
46.48798126,1.008609889,13,-16.95544909,9.095112003,1,11.65,7076.841292,108.1074862,107.4384602,358.5217351,118.6596759,58.38416057,98.08742928,0,-9.834834955,1,50.35549441,1.75,1.75,-69.76847286,-12.10433009,1.033543402,11.55272482,4.562812685,0,3007.221735
47.11573289,1.027969732,13.25,-17.06275624,9.007069807,1,11.65,7172.403598,106.8024013,107.5747357,368.2697245,121.8859608,58.162573,98.01142131,0,-10.03870551,1,50.95868926,1.75,1.75,-71.20008129,-11.91293638,1.035271966,11.79041515,4.46827793,0,3016.969725
