speed,elapsedTime,elapsedDistance,lateralAcceleration,longitudinalAcceleration,gear,gearRatio,engineSpeed,torque,power,downForce,dragForce,tractionControl,throttlePosition,brakePosition,cornerRadius,sectorIndex,maximumCornerSpeed,loadSensitiveLatGrip,loadSensitiveLongGrip,yawangle,yawvelocity,yawacceleration,xposition,yposition,trackelevation,fz,
Speed (linear),Time,Length,Acceleration (linear),Acceleration (linear),Unitless,Unitless,Speed (angular),Torque,Power,Force,Force,Ratio,Ratio,Ratio,Length,Unitless,Speed (linear),Unitless,Unitless,Angle,Speed (angular),Acceleration (angular),Length,Length,Length,Force,
km/h,s,m,G,G,-,-,rpm,N.m,hp,N,N,%,%,%,m,-,km/h,-,-,deg,rpm,deg/s^2,m,m,m,N,
47.3400516391038,0.336528006128184,5.25,-1.54191847479256,-1.2883618634832,1,11.65,7206.55152434001,106.336046487241,107.614937123624,371.784748092328,123.049325609754,0,0,61.7439718030142,-11.431995206667,1,55.0045206805003,1.75,1.75,-14.9998843064048,-10.323649685454,-0.747652627114328,3.95608580467769,3.66536296480827,0,3020.48474809233,
46.4586263356994,0.356267021680292,5.5,-1.56267745552437,-1.2389090616968,1,11.65,7072.37260725167,108.168514540025,107.431230427661,358.069099611357,118.509867483664,0,0,59.6027859697131,-10.8639904133341,1,53.3699924421198,1.75,1.75,-16.2395412246758,-10.8058970989454,-2.55842703576592,4.17259134941133,3.8063922363374,0,3006.76909961136,
45.5949790213279,0.376345270727477,5.75,-1.58815214021648,-1.08640702510516,1,11.65,6940.90002421936,110.2228694481,107.436549695286,344.88011551974,114.144719084547,0,0,52.1700329658494,-10.2959856200011,1,51.7154606431837,1.75,1.75,-17.5206439087514,-11.2213300385462,-2.16672457849267,4.39212298227532,3.9427204760027,0,2993.58011551974,
44.8246257870863,0.396740632322601,6,-1.68085835616707,-0.967599806110543,1,11.65,6823.62955065024,112.338043614208,107.648218851551,333.324671720717,110.320222318913,0,0,46.368009179452,-9.40217258437936,1,49.0642936618222,1.75,1.75,-18.9434627113356,-11.9703147717551,-3.84565370337716,4.61467214768123,4.07412086644309,0,2982.02467172072,
44.1276804925671,0.417403236503229,6.25,-1.73960693613033,-0.782123155978473,1,11.65,6717.53392969722,114.251660143136,107.77969215626,323.040009855393,106.91631531857,0,0,37.0802820067239,-8.80434516875872,1,47.2528611128801,1.75,1.75,-20.4589213267939,-13.0287654558024,-5.36431397856358,4.84043642749594,4.19996649167778,0,2971.74000985539,
43.5569491692532,0.438085274025285,6.5,-1.8183688543539,-0.0560333751140012,1,11.65,6630.6517961632,115.818728466086,107.844888380919,314.737884331109,104.168566918098,0,0,0,-8.20651775313807,1,45.4053215437015,1.75,1.75,-22.0798926453694,-13.3125280150627,-1.43678037940794,5.06946696373973,4.3198062976882,0,2963.43788433111,
43.5160220089626,0.458767311547342,6.75,-1.95755718287703,0,1,11.65,6624.42147576498,115.931102982465,107.848094203725,314.146691592227,103.972900290572,0,2.23074382165467,0,-7.60869033751743,1,43.5160220089626,1.75,1.75,-23.9278912220393,-14.055429881426,-3.76154919168529,5.30180768893795,4.43312523254523,0,2962.84669159223,
43.2609344783714,0.479790033081405,7,-1.87477856787726,-0.606261692388012,1,11.65,6585.58963319675,116.631501878478,107.863642972217,310.4744794813,102.757510939437,100,0,28.2716614450839,-7.85177423653431,1,44.2896766128643,1.75,1.75,-25.674398120214,-13.9944190884872,0.303910951103534,5.53768440776395,4.53889381952383,0,2959.1744794813,
42.8108224970644,0.501036861581491,7.25,-1.87129524885481,-0.601795858943418,1,11.65,6517.06931957857,117.86738327989,107.872447701413,304.047375051912,100.630336896614,80.2899514488028,0,28.1462838261459,-7.70354847306862,1,43.8188488873185,1.75,1.75,-27.4542394209748,-14.0542582051452,-0.294930494825276,5.77667103916725,4.63742263871677,0,2952.74737505191,
42.3592631717416,0.522513160872416,7.5,-1.86796943690796,-0.596740351933278,1,11.65,6448.32867753106,119.107238682494,107.857381583982,297.667149758641,98.5186784071151,0,0,27.9891413549384,-7.55532270960293,1,43.3451164769632,1.75,1.75,-29.2687688713738,-14.157807785432,-0.504914116882189,6.01859042177175,4.7284766352428,0,2946.36714975864,
41.906661283134,0.544224172872165,7.75,-1.86485077725244,-0.590864672620853,1,11.65,6379.42932661504,120.349956671804,107.818260196484,291.340082278579,96.4246135200969,0,0,27.7880038565577,-7.40709694613723,1,42.8683676469672,1.75,1.75,-31.1194240686541,-14.2797979147199,-0.58840078326121,6.26325075899213,4.81181766886977,0,2940.04008227858,
41.4536180999023,0.566174843352266,8,-1.86200904285082,-0.583832348835978,1,11.65,6310.46279764714,121.593886332521,107.755017299774,285.074912036184,94.3510347164676,0,0,27.5250069387424,-7.25887118267154,1,42.3884851508709,1.75,1.75,-33.0077334417548,-14.412403025123,-0.632617336296081,6.51044465173053,4.88720483616673,0,2933.77491203618,
41.0010254955945,0.588369546826184,8.25,-1.85954377708581,-0.575139326741829,1,11.65,6241.56486007529,122.836578829745,107.667778135789,278.883970729755,92.3020234093753,0,0,27.1733789385628,-7.11064541920585,1,41.9053458292853,1.75,1.75,-34.9353239661751,-14.5538549795388,-0.66740310565651,6.75994806492298,4.95439485282931,0,2927.58397072976,
40.5502151023386,0.610811643416592,8.5,-1.85759964381529,-0.564004295051344,1,11.65,6172.93822756814,124.074377874707,107.55697715704,272.784971100199,90.283441971697,0,0,26.6916206883718,-6.96241965574016,1,41.4188201705939,1.75,1.75,-36.9039297056548,-14.7048092933964,-0.704386005903544,7.01151922336255,5.01314250476747,0,2921.4849711002,
40.1032049913135,0.633502740735791,8.75,-1.85639191627183,-0.549157849149332,1,11.65,6104.89011005527,125.301742409316,107.423552869787,266.803964938645,88.3039127456508,0,0,26.0123331686727,-6.81419389227447,1,40.9287718291682,1.75,1.75,-38.9154012881823,-14.8674687713746,-0.750675935242594,7.26489743197733,5.06320117779656,0,2915.50396493865,
39.663132520194,0.656441395332293,9,-1.8562513400302,-0.528390884101192,1,11.65,6037.89810586939,126.4,107.175965466111,260.98054688344,86.3765403396728,0,0,25.018328452527,-6.66596812880878,1,40.4350570959699,1.75,1.75,-40.9717164403694,-15.0461535361161,-0.815733317253816,7.51980181550338,5.10432347722257,0,2909.68054688344,
39.2350822588018,0.679620604778153,9.25,-1.85771007504058,-0.497416212261349,1,11.65,5972.7362364391,126.4,106.019306949304,255.377863789436,84.5222244220355,0,0,23.4825313389018,-6.51774236534308,1,39.9375243156622,1.75,1.75,-43.0749917236826,-15.2839457643371,-1.07430514258152,7.7759299722769,5.1362619502931,0,2904.07786378944,
